Gene,Transcrit,Protein,Accession
Acc11621,Acc11621.1,d1955.a1.a1,PSS19528
Acc11632,Acc11632.1,d2509.a1.a1,PSS19537
Acc11640,Acc11640.1,c749.a1.a1,PSS19545
Acc11644,Acc11644.1,b97.a1.a1,PSS19549
Acc11651,Acc11651.1,c667.a1.a1,PSS19556
Acc11655,Acc11655.1,b71.a3.a1,PSS19560
Acc11658,Acc11658.1,c120.b17.a1,PSS19563
Acc11666,Acc11666.1,c110.a3.a1,PSS19571
Acc11667,Acc11667.1,c803.a3.a1,PSS19572
Acc11668,Acc11668.1,c120.b14.a1,PSS19573
Acc11669,Acc11669.1,d1376.a2.a1,PSS19574
Acc11683,Acc11683.1,d1004.a3.a1,PSS19587
Acc11687,Acc11687.1,c120.b10.a1,PSS19591
Acc11688,Acc11688.1,c217.a1.a1,PSS19592
Acc11690,Acc11690.1,b64.a2.a1,PSS19594
Acc11691,Acc11691.1,d3068.a1.a1,PSS19595
Acc11694,Acc11694.1,d1238.a2.a1,PSS19598
Acc11712,Acc11712.1,c334.a1.a1,PSS19683
Acc11722,Acc11722.1,d1204.a2.a1,PSS19693
Acc11735,Acc11735.1,d1725.a1.a1,PSS19705
Acc11752,Acc11752.1,c917.a3.a1,PSS19720
Acc11754,Acc11754.1,d1702.a2.a1,PSS19722
Acc11761,Acc11761.1,d1716.a1.a1,PSS19727
Acc11774,Acc11774.1,a1.a5.a1,PSS19738
Acc11775,Acc11775.1,a1.b10.a1,PSS19739
Acc11782,Acc11782.1,c157.a2.a1,PSS19744
Acc11800,Acc11800.1,c654.a1.a1,PSS19762
Acc11812,Acc11812.1,d1054.a1.a1,PSS19774
Acc11825,Acc11825.1,d2558.a2.a1,PSS19787
Acc11829,Acc11829.1,d1631.a2.a1,PSS19791
Acc11831,Acc11831.1,d2594.a2.a1,PSS19793
Acc11858,Acc11858.1,d1774.a1.a1,PSS19816
Acc11866,Acc11866.1,d2167.a1.a1,PSS19823
Acc11869,Acc11869.1,d1269.a2.a1,PSS19826
Acc11874,Acc11874.1,c415.a3.a1,PSS19831
Acc11876,Acc11876.1,c283.a3.a1,PSS19833
Acc11877,Acc11877.1,c196.a1.a1,PSS19834
Acc11881,Acc11881.1,c745.a1.a1,PSS19838
Acc11886,Acc11886.1,d1358.a1.a1,PSS19843
Acc11891,Acc11891.1,d1121.a2.a1,PSS19848
Acc11892,Acc11892.1,d1748.a2.a1,PSS19849
Acc11896,Acc11896.1,b64.a4.a1,PSS19853
Acc11899,Acc11899.1,c592.a1.a1,PSS19856
Acc11906,Acc11906.1,c270.a1.a1,PSS19863
Acc11914,Acc11914.1,d1613.a1.a1,PSS19871
Acc11923,Acc11923.1,d3325.a1.a1,PSS19880
Acc11926,Acc11926.1,d2336.a1.a1,PSS19883
Acc11928,Acc11928.1,c561.a3.a1,PSS19885
Acc11934,Acc11934.1,c165.a3.a1,PSS19889
Acc11936,Acc11936.1,d2367.a1.a1,PSS19891
Acc11939,Acc11939.1,d1582.a2.a1,PSS19894
Acc11943,Acc11943.1,d3008.a1.a1,PSS17153
Acc11956,Acc11956.1,d2830.a1.a1,PSS17167
Acc11960,Acc11960.1,c162.a3.a1,PSS17171
Acc11968,Acc11968.1,c561.a1.a1,PSS17179
Acc11974,Acc11974.1,d3040.a1.a1,PSS17185
Acc11975,Acc11975.1,d2286.a2.a1,PSS17186
Acc11977,Acc11977.1,d2367.a2.a1,PSS17188
Acc11980,Acc11980.1,d1582.a1.a1,PSS17191
Acc11981,Acc11981.1,d2241.a1.a1,PSS17192
Acc11984,Acc11984.1,d1106.a1.a1,PSS17195
Acc11989,Acc11989.1,d1751.a1.a1,PSS17199
Acc11995,Acc11995.1,d1631.a1.a1,PSS17207
Acc11997,Acc11997.1,d2558.a1.a1,PSS17209
Acc12012,Acc12012.1,d3009.a1.a1,PSS17224
Acc12014,Acc12014.1,c277.a2.a1,PSS17226
Acc12015,Acc12015.1,c277.a1.a1,PSS17227
Acc12016,Acc12016.1,c277.a4.a1,PSS17228
Acc12018,Acc12018.1,d2961.a1.a1,PSS17230
Acc12022,Acc12022.1,c492.a1.a1,PSS17234
Acc12027,Acc12027.1,d1451.a2.a1,PSS17239
Acc12030,Acc12030.1,c467.a1.a1,PSS17242
Acc12031,Acc12031.1,d2261.a1.a1,PSS17243
Acc12035,Acc12035.1,d2707.a1.a1,PSS17247
Acc12037,Acc12037.1,d3176.a1.a1,PSS17249
Acc12049,Acc12049.1,c157.a1.a1,PSS17262
Acc12053,Acc12053.1,a1.a8.a1,PSS17266
Acc12054,Acc12054.1,a1.b11.a1,PSS17267
Acc12055,Acc12055.1,a1.a3.a1,PSS17268
Acc12056,Acc12056.1,a1.a2.a1,PSS17269
Acc12057,Acc12057.1,a1.a6.a1,PSS17270
Acc12058,Acc12058.1,a1.a1.a1,PSS17271
Acc12061,Acc12061.1,d2670.a1.a1,PSS17274
Acc12067,Acc12067.1,d2447.a1.a1,PSS17280
Acc12075,Acc12075.1,d1702.a1.a1,PSS17288
Acc12087,Acc12087.1,d2818.a1.a1,PSS17300
Acc12092,Acc12092.1,b88.b12.a1,PSS17305
Acc12105,Acc12105.1,d1204.a1.a1,PSS17318
Acc12107,Acc12107.1,b15.a6.a1,PSS17320
Acc12117,Acc12117.1,c334.a2.a1,PSS17330
Acc12121,Acc12121.1,d2426.a2.a1,PSS17334
Acc12123,Acc12123.1,d1783.a1.a1,PSS17336
Acc12125,Acc12125.1,c298.a2.a1,PSS17338
Acc12128,Acc12128.1,c298.a1.a1,PSS17340
Acc12135,Acc12135.1,c826.a1.a1,PSS17348
Acc12136,Acc12136.1,d2708.a1.a1,PSS17349
Acc12145,Acc12145.1,d2604.a1.a1,PSS17358
Acc12146,Acc12146.1,d1238.a1.a1,PSS17359
Acc12151,Acc12151.1,c120.a9.a1,PSS17364
Acc12159,Acc12159.1,d2688.a1.a1,PSS17372
Acc12171,Acc12171.1,d1540.a1.a1,PSS17384
Acc12173,Acc12173.1,d1376.a1.a1,PSS17386
Acc12174,Acc12174.1,c120.a7.a1,PSS17387
Acc12176,Acc12176.1,c110.a1.a1,PSS17389
Acc12181,Acc12181.1,c120.b13.a1,PSS17394
Acc12186,Acc12186.1,b71.a1.a1,PSS17399
Acc12188,Acc12188.1,d1312.a2.a1,PSS17401
Acc12194,Acc12194.1,c667.a2.a1,PSS17407
Acc12199,Acc12199.1,b97.a2.a1,PSS17413
Acc12201,Acc12201.1,d1511.a3.a1,PSS17415
Acc12209,Acc12209.1,d1264.a1.a1,PSS17423
Acc12210,Acc12210.1,d1976.a1.a1,PSS17424
Acc12216,Acc12216.1,c894.a1.a1,PSS17430
Acc12221,Acc12221.1,d1955.a2.a1,PSS17435
Acc12227,Acc12227.1,d2166.a1.a1,PSS17441
Acc12228,Acc12228.1,d3197.a1.a1,PSS17442
Acc12238,Acc12238.1,d3019.a1.a1,PSS17452
Acc12242,Acc12242.1,b19.a3.a1,PSS17457
Acc12273,Acc12273.1,c101.a4.a1,PSS17488
Acc12276,Acc12276.1,d2886.a1.a1,PSS17491
Acc12281,Acc12281.1,d1989.a1.a1,PSS17496
Acc12298,Acc12298.1,c741.a2.a1,PSS17513
Acc12302,Acc12302.1,d2819.a1.a1,PSS17517
Acc12304,Acc12304.1,d1167.a2.a1,PSS17519
Acc12338,Acc12338.1,d3157.a2.a1,PSS17550
Acc12344,Acc12344.1,d2128.a1.a1,PSS17556
Acc12346,Acc12346.1,c455.a1.a1,PSS17558
Acc12351,Acc12351.1,d3066.a1.a1,PSS17563
Acc12353,Acc12353.1,d2542.a1.a1,PSS17565
Acc12363,Acc12363.1,d3400.a1.a1,PSS17576
Acc12366,Acc12366.1,b84.a2.a1,PSS17580
Acc12368,Acc12368.1,c692.a4.a1,PSS17582
Acc12394,Acc12394.1,d3177.a1.a1,PSS17607
Acc12394,Acc12394.2,d3177.a1.a1,PSS17607
Acc12403,Acc12403.1,d1461.a3.a1,PSS17615
Acc12405,Acc12405.1,c314.a4.a1,PSS17719
Acc12409,Acc12409.1,d2221.a1.a1,PSS17723
Acc12432,Acc12432.1,d1593.a1.a1,PSS17745
Acc12444,Acc12444.1,d1971.a2.a1,PSS17756
Acc12446,Acc12446.1,d2300.a1.a1,PSS17758
Acc12451,Acc12451.1,c567.a2.a1,PSS17763
Acc12455,Acc12455.1,d1594.a2.a1,PSS17767
Acc12462,Acc12462.1,c451.a2.a1,PSS17772
Acc12469,Acc12469.1,c259.a2.a1,PSS17779
Acc12470,Acc12470.1,d1683.a2.a1,PSS17780
Acc12474,Acc12474.1,c128.b10.a1,PSS17784
Acc12495,Acc12495.1,d2382.a2.a1,PSS17804
Acc12497,Acc12497.1,d2054.a2.a1,PSS17806
Acc12498,Acc12498.1,d2448.a1.a1,PSS17807
Acc12500,Acc12500.1,c929.a1.a1,PSS17809
Acc12524,Acc12524.1,d1151.a1.a1,PSS17833
Acc12528,Acc12528.1,b35.a3.a1,PSS17837
Acc12548,Acc12548.1,b61.a1.a1,PSS17857
Acc12551,Acc12551.1,d1108.a2.a1,PSS17860
Acc12557,Acc12557.1,d1920.a1.a1,PSS17866
Acc12574,Acc12574.1,c960.a3.a1,PSS17883
Acc12582,Acc12582.1,d3402.a1.a1,PSS17891
Acc12584,Acc12584.1,d2841.a1.a1,PSS17893
Acc12591,Acc12591.1,c252.a1.a1,PSS17900
Acc12594,Acc12594.1,d2941.a1.a1,PSS17903
Acc12597,Acc12597.1,d1460.a1.a1,PSS17906
Acc12598,Acc12598.1,c228.a3.a1,PSS17907
Acc12601,Acc12601.1,b29.a3.a1,PSS17910
Acc12616,Acc12616.1,c709.a2.a1,PSS17924
Acc12624,Acc12624.1,d1626.a1.a1,PSS17932
Acc12628,Acc12628.1,c262.a2.a1,PSS17936
Acc12635,Acc12635.1,d1479.a1.a1,PSS17943
Acc12637,Acc12637.1,d1601.a2.a1,PSS17945
Acc12661,Acc12661.1,d2789.a1.a1,PSS09746
Acc12677,Acc12677.1,b82.a1.a1,PSS09762
Acc12684,Acc12684.1,d2728.a1.a1,PSS09769
Acc12690,Acc12690.1,d3152.a1.a1,PSS09776
Acc12691,Acc12691.1,d1361.a2.a1,PSS09777
Acc12692,Acc12692.1,d3142.a1.a1,PSS17988
Acc12703,Acc12703.1,d1008.a3.a1,PSS17999
Acc12712,Acc12712.1,d3067.a1.a1,PSS18009
Acc12724,Acc12724.1,c415.a2.a1,PSS18020
Acc12727,Acc12727.1,c196.a2.a1,PSS18023
Acc12743,Acc12743.1,c602.a3.a1,PSS18038
Acc12748,Acc12748.1,c987.a2.a1,PSS18043
Acc12755,Acc12755.1,c720.a3.a1,PSS18050
Acc12757,Acc12757.1,d1764.a1.a1,PSS18052
Acc12758,Acc12758.1,d2232.a1.a1,PSS18053
Acc12759,Acc12759.1,d2044.a1.a1,PSS18054
Acc12762,Acc12762.1,c696.b10.a1,PSS18057
Acc12767,Acc12767.1,c205.a2.a1,PSS18062
Acc12771,Acc12771.1,c596.a1.a1,PSS18066
Acc12780,Acc12780.1,d1301.a1.a1,PSS18075
Acc12781,Acc12781.1,c140.a1.a1,PSS18076
Acc12783,Acc12783.1,c423.a1.a1,PSS18078
Acc12790,Acc12790.1,d2246.a1.a1,PSS18086
Acc12791,Acc12791.1,c539.a2.a1,PSS18087
Acc12794,Acc12794.1,d1652.a1.a1,PSS18090
Acc12814,Acc12814.1,d1502.a1.a1,PSS18110
Acc12821,Acc12821.1,d1566.a3.a1,PSS18117
Acc12822,Acc12822.1,d2980.a1.a1,PSS18118
Acc12825,Acc12825.1,c407.a2.a1,PSS18121
Acc12827,Acc12827.1,b35.b17.a1,PSS18123
Acc12829,Acc12829.1,d1044.a1.a1,PSS18125
Acc12830,Acc12830.1,d1044.a2.a1,PSS18126
Acc12850,Acc12850.1,c287.a2.a1,PSS18145
Acc12851,Acc12851.1,c184.a2.a1,PSS18146
Acc12854,Acc12854.1,c159.a3.a1,PSS18149
Acc12864,Acc12864.1,c156.a1.a1,PSS18159
Acc12865,Acc12865.1,d2312.a1.a1,PSS18160
Acc12872,Acc12872.1,d1791.a1.a1,PSS18167
Acc12875,Acc12875.1,c315.a6.a1,PSS18170
Acc12880,Acc12880.1,d1934.a1.a1,PSS18175
Acc12884,Acc12884.1,c962.a3.a1,PSS18179
Acc12886,Acc12886.1,c463.a1.a1,PSS18181
Acc12893,Acc12893.1,d3128.a1.a1,PSS18188
Acc12903,Acc12903.1,c310.a7.a1,PSS18197
Acc12905,Acc12905.1,c232.a1.a1,PSS18199
Acc12913,Acc12913.1,d2490.a1.a1,PSS15422
Acc12914,Acc12914.1,b53.a1.a1,PSS15423
Acc12920,Acc12920.1,d1972.a2.a1,PSS15429
Acc12922,Acc12922.1,a2.a2.a1,PSS15431
Acc12929,Acc12929.1,d1418.a2.a1,PSS15438
Acc12931,Acc12931.1,d3255.a1.a1,PSS15440
Acc12934,Acc12934.1,c418.a1.a1,PSS15443
Acc12938,Acc12938.1,c407.a4.a1,PSS15447
Acc12946,Acc12946.1,c614.a2.a1,PSS15455
Acc12951,Acc12951.1,c375.a2.a1,PSS15460
Acc12953,Acc12953.1,c247.a2.a1,PSS15462
Acc12967,Acc12967.1,c304.a1.a1,PSS15476
Acc12977,Acc12977.1,d2245.a1.a1,PSS15486
Acc12981,Acc12981.1,c730.a2.a1,PSS15490
Acc12983,Acc12983.1,c730.a5.a1,PSS15492
Acc12984,Acc12984.1,d1071.a1.a1,PSS15493
Acc12989,Acc12989.1,d3154.a1.a1,PSS15498
Acc12999,Acc12999.1,d2816.a1.a1,PSS15508
Acc13000,Acc13000.1,d2750.a1.a1,PSS15509
Acc13001,Acc13001.1,c773.a1.a1,PSS15510
Acc13003,Acc13003.1,d3321.a1.a1,PSS15512
Acc13005,Acc13005.1,c111.a6.a1,PSS15514
Acc13025,Acc13025.1,d2043.a1.a1,PSS15533
Acc13029,Acc13029.1,c258.a2.a1,PSS15537
Acc13031,Acc13031.1,c602.a1.a1,PSS15539
Acc13039,Acc13039.1,d1099.a2.a1,PSS15547
Acc13040,Acc13040.1,c144.a1.a1,PSS15548
Acc13045,Acc13045.1,d2511.a2.a1,PSS15553
Acc13046,Acc13046.1,c581.a8.a1,PSS15554
Acc13047,Acc13047.1,c581.a3.a1,PSS15555
Acc13048,Acc13048.1,d1741.a2.a1,PSS15556
Acc13051,Acc13051.1,c200.a1.a1,PSS15559
Acc13053,Acc13053.1,d2817.a1.a1,PSS15561
Acc13056,Acc13056.1,c479.a2.a1,PSS15564
Acc13063,Acc13063.1,d1427.a1.a1,PSS15571
Acc13064,Acc13064.1,c992.a2.a1,PSS15572
Acc13072,Acc13072.1,d2334.a1.a1,PSS15580
Acc13074,Acc13074.1,d3397.a1.a1,PSS15582
Acc13097,Acc13097.1,d2838.a1.a1,PSS15605
Acc13108,Acc13108.1,d2239.a2.a1,PSS15616
Acc13115,Acc13115.1,c675.a2.a1,PSS15623
Acc13121,Acc13121.1,d3212.a1.a1,PSS15629
Acc13126,Acc13126.1,d1721.a1.a1,PSS15634
Acc13127,Acc13127.1,d2366.a1.a1,PSS15635
Acc13128,Acc13128.1,d1173.a2.a1,PSS15636
Acc13131,Acc13131.1,c279.a1.a1,PSS15639
Acc13137,Acc13137.1,d3322.a1.a1,PSS15645
Acc13146,Acc13146.1,d3323.a1.a1,PSS15654
Acc13162,Acc13162.1,c321.a1.a1,PSS15670
Acc13163,Acc13163.1,c321.a2.a1,PSS15671
Acc13165,Acc13165.1,c324.a2.a1,PSS15673
Acc13167,Acc13167.1,d2645.a1.a1,PSS15675
Acc13169,Acc13169.1,c479.a5.a1,PSS15677
Acc13170,Acc13170.1,c479.a7.a1,PSS15678
Acc13174,Acc13174.1,d2859.a1.a1,PSS15682
Acc13177,Acc13177.1,b49.a6.a1,PSS15685
Acc13179,Acc13179.1,c644.a5.a1,PSS15687
Acc13185,Acc13185.1,d2158.a1.a1,PSS15693
Acc13204,Acc13204.1,d3126.a1.a1,PSS15712
Acc13206,Acc13206.1,d2144.a2.a1,PSS15714
Acc13207,Acc13207.1,d2612.a1.a1,PSS15715
Acc13208,Acc13208.1,d1433.a1.a1,PSS15716
Acc13211,Acc13211.1,d2732.a1.a1,PSS15719
Acc13216,Acc13216.1,b24.a2.a1,PSS15725
Acc13226,Acc13226.1,d1801.a1.a1,PSS15734
Acc13234,Acc13234.1,d1395.a3.a1,PSS15742
Acc13256,Acc13256.1,b38.a1.a1,PSS15764
Acc13259,Acc13259.1,d1523.a1.a1,PSS15767
Acc13268,Acc13268.1,d2839.a1.a1,PSS15775
Acc13275,Acc13275.1,d3018.a1.a1,PSS15782
Acc13280,Acc13280.1,d1138.a1.a1,PSS15787
Acc13282,Acc13282.1,d3155.a1.a1,PSS15789
Acc13283,Acc13283.1,d2840.a1.a1,PSS15790
Acc13293,Acc13293.1,d2621.a1.a1,PSS15800
Acc13302,Acc13302.1,d2408.a1.a1,PSS15809
Acc13305,Acc13305.1,d2522.a1.a1,PSS15812
Acc13307,Acc13307.1,b14.a2.a1,PSS15814
Acc13309,Acc13309.1,c597.a1.a1,PSS15816
Acc13317,Acc13317.1,d1334.a1.a1,PSS15824
Acc13318,Acc13318.1,d1196.a1.a1,PSS15825
Acc13320,Acc13320.1,d2771.a1.a1,PSS15827
Acc13322,Acc13322.1,b91.a2.a1,PSS15829
Acc13330,Acc13330.1,c368.a1.a1,PSS15836
Acc13335,Acc13335.1,d1839.a1.a1,PSS15841
Acc13345,Acc13345.1,d2858.a1.a1,PSS15850
Acc13349,Acc13349.1,d2183.a1.a1,PSS15854
Acc13352,Acc13352.1,d2030.a1.a1,PSS15857
Acc13353,Acc13353.1,b35.b16.a1,PSS15858
Acc13377,Acc13377.1,c419.a1.a1,PSS15884
Acc13381,Acc13381.1,d2111.a1.a1,PSS15888
Acc13382,Acc13382.1,d1002.a1.a1,PSS15889
Acc13384,Acc13384.1,d1002.a3.a1,PSS15891
Acc13385,Acc13385.1,d3127.a1.a1,PSS15892
Acc13387,Acc13387.1,d1586.a1.a1,PSS15894
Acc13391,Acc13391.1,d2631.a1.a1,PSS15898
Acc13398,Acc13398.1,c853.a1.a1,PSS15905
Acc13401,Acc13401.1,d2213.a1.a1,PSS15908
Acc13408,Acc13408.1,d1288.a1.a1,PSS15915
Acc13424,Acc13424.1,d1278.a1.a1,PSS15931
Acc13426,Acc13426.1,c663.a3.a1,PSS15933
Acc13430,Acc13430.1,c947.a1.a1,PSS15937
Acc13437,Acc13437.1,d2311.a1.a1,PSS15944
Acc13439,Acc13439.1,d2956.a1.a1,PSS15946
Acc13442,Acc13442.1,c172.a1.a1,PSS15949
Acc13444,Acc13444.1,d3034.a2.a1,PSS15951
Acc13454,Acc13454.1,b25.a3.a1,PSS15961
Acc13465,Acc13465.1,d1902.a1.a1,PSS15972
Acc13472,Acc13472.1,c276.a1.a1,PSS15979
Acc13474,Acc13474.1,d2489.a1.a1,PSS15981
Acc13478,Acc13478.1,d1260.a2.a1,PSS16374
Acc13483,Acc13483.1,c348.a2.a1,PSS16370
Acc13486,Acc13486.1,c833.a1.a1,PSS15987
Acc13488,Acc13488.1,c590.a2.a1,PSS15989
Acc13491,Acc13491.1,b27.a3.a1,PSS15992
Acc13501,Acc13501.1,c285.a1.a1,PSS16002
Acc13502,Acc13502.1,d1207.a1.a1,PSS16003
Acc13510,Acc13510.1,d2039.a2.a1,PSS16011
Acc13522,Acc13522.1,c883.a3.a1,PSS16023
Acc13533,Acc13533.1,d1812.a2.a1,PSS16034
Acc13547,Acc13547.1,d1428.a3.a1,PSS16048
Acc13557,Acc13557.1,c212.a1.a1,PSS16058
Acc13561,Acc13561.1,a1.a9.a1,PSS16062
Acc13566,Acc13566.1,c794.a2.a1,PSS16067
Acc13568,Acc13568.1,d1253.a2.a1,PSS16069
Acc13570,Acc13570.1,c199.a1.a1,PSS16071
Acc13574,Acc13574.1,c126.a2.a1,PSS16075
Acc13578,Acc13578.1,d1350.a1.a1,PSS16079
Acc13589,Acc13589.1,b18.b10.a1,PSS16090
Acc13590,Acc13590.1,b60.a6.a1,PSS16091
Acc13602,Acc13602.1,b22.a1.a1,PSS16103
Acc13607,Acc13607.1,d2571.a1.a1,PSS16108
Acc13614,Acc13614.1,d3398.a1.a1,PSS16115
Acc13615,Acc13615.1,c248.a1.a1,PSS16116
Acc13619,Acc13619.1,d1087.a5.a1,PSS16120
Acc13621,Acc13621.1,d1001.a4.a1,PSS16122
Acc13622,Acc13622.1,d1300.a1.a1,PSS16123
Acc13627,Acc13627.1,d1662.a1.a1,PSS16128
Acc13638,Acc13638.1,c332.a1.a1,PSS16139
Acc13640,Acc13640.1,d1572.a1.a1,PSS16141
Acc13642,Acc13642.1,d1919.a2.a1,PSS16143
Acc13644,Acc13644.1,d1266.a2.a1,PSS16145
Acc13649,Acc13649.1,d1120.a1.a1,PSS16150
Acc13650,Acc13650.1,b16.a3.a1,PSS16151
Acc13654,Acc13654.1,d3256.a1.a1,PSS16155
Acc13661,Acc13661.1,d2299.a1.a1,PSS16164
Acc13680,Acc13680.1,c203.a3.a1,PSS16183
Acc13685,Acc13685.1,c931.a1.a1,PSS16188
Acc13696,Acc13696.1,c586.a2.a1,PSS16199
Acc13708,Acc13708.1,d1209.a1.a1,PSS16211
Acc13709,Acc13709.1,c545.a3.a1,PSS16212
Acc13746,Acc13746.1,d1222.a3.a1,PSS16249
Acc13757,Acc13757.1,c748.a4.a1,PSS16260
Acc13758,Acc13758.1,c748.a3.a1,PSS16261
Acc13759,Acc13759.1,c748.a1.a1,PSS16262
Acc13764,Acc13764.1,d2751.a1.a1,PSS16267
Acc13768,Acc13768.1,c458.a4.a1,PSS16271
Acc13772,Acc13772.1,d1684.a1.a1,PSS16275
Acc13773,Acc13773.1,d1143.a2.a1,PSS16276
Acc13775,Acc13775.1,d3156.a1.a1,PSS16278
Acc13780,Acc13780.1,d3399.a1.a1,PSS16283
Acc13805,Acc13805.1,d1705.a1.a1,PSS16309
Acc13813,Acc13813.1,c586.a3.a1,PSS16317
Acc13814,Acc13814.1,d1098.a1.a1,PSS16318
Acc13837,Acc13837.1,d2716.a1.a1,PSR89771
Acc13846,Acc13846.1,d2378.a1.a1,PSR89762
Acc13855,Acc13855.1,c197.a3.a1,PSS16420
Acc13858,Acc13858.1,c708.a2.a1,PSS16423
Acc13862,Acc13862.1,d1237.a1.a1,PSS16427
Acc13866,Acc13866.1,b83.a3.a1,PSS16431
Acc13877,Acc13877.1,c576.a3.a1,PSS16442
Acc13879,Acc13879.1,d3324.a1.a1,PSS16444
Acc13895,Acc13895.1,c109.a1.a1,PSS16460
Acc13916,Acc13916.1,d1501.a1.a1,PSS16348
Acc13919,Acc13919.1,c482.b34.a1,PSS16351
Acc13923,Acc13923.1,c398.a2.a1,PSS16355
Acc13924,Acc13924.1,c624.a2.a1,PSS16356
Acc13929,Acc13929.1,d2199.a1.a1,PSS16361
Acc13940,Acc13940.1,d1852.a1.a1,PSS16379
Acc13941,Acc13941.1,c358.a1.a1,PSS16380
Acc13945,Acc13945.1,d1146.a2.a1,PSS16384
Acc13953,Acc13953.1,d3099.a1.a1,PSS16392
Acc13954,Acc13954.1,c215.a5.a1,PSS16393
Acc13960,Acc13960.1,d2939.a1.a1,PSS16399
Acc13961,Acc13961.1,d1743.a1.a1,PSS16400
Acc13974,Acc13974.1,c981.a1.a1,PSS16413
Acc13975,Acc13975.1,d3317.a1.a1,PSS13365
Acc13981,Acc13981.1,c219.a9.a1,PSS13371
Acc13987,Acc13987.1,d1528.a1.a1,PSS13377
Acc13992,Acc13992.2,d2285.a1.a1,PSS13382
Acc13996,Acc13996.1,d2182.a1.a1,PSS13386
Acc13997,Acc13997.1,d1409.a1.a1,PSS13387
Acc14002,Acc14002.1,c881.a2.a1,PSS13393
Acc14009,Acc14009.1,c140.a7.a1,PSS13400
Acc14020,Acc14020.1,d2730.a1.a1,PSS13412
Acc14022,Acc14022.1,d2437.a1.a1,PSS13414
Acc14038,Acc14038.1,d1563.a1.a1,PSS13430
Acc14042,Acc14042.1,b57.a2.a1,PSS13434
Acc14061,Acc14061.1,d2303.a2.a1,PSS13451
Acc14062,Acc14062.1,b47.a1.a1,PSS13452
Acc14063,Acc14063.1,d3196.a1.a1,PSS13453
Acc14078,Acc14078.1,d3123.a1.a1,PSS13468
Acc14088,Acc14088.1,d1951.a3.a1,PSS13478
Acc14097,Acc14097.1,d1258.a1.a1,PSS13487
Acc14099,Acc14099.1,c120.b21.a1,PSS13489
Acc14106,Acc14106.1,d1504.a1.a1,PSS13496
Acc14114,Acc14114.1,d2026.a2.a1,PSS13504
Acc14118,Acc14118.1,d3349.a1.a1,PSS13508
Acc14120,Acc14120.1,d2458.a1.a1,PSS13510
Acc14137,Acc14137.1,d3124.a1.a1,PSS13526
Acc14142,Acc14142.1,c812.a2.a1,PSS13531
Acc14150,Acc14150.1,d1779.a1.a1,PSS13539
Acc14154,Acc14154.1,c519.a1.a1,PSS13543
Acc14158,Acc14158.1,d1689.a3.a1,PSS13547
Acc14164,Acc14164.1,d1126.a1.a1,PSS13553
Acc14167,Acc14167.1,c387.a6.a1,PSS13556
Acc14172,Acc14172.1,d2998.a1.a1,PSS13561
Acc14173,Acc14173.1,c329.a2.a1,PSS13562
Acc14183,Acc14183.1,d2836.a1.a1,PSS13572
Acc14185,Acc14185.1,d2918.a2.a1,PSS13574
Acc14188,Acc14188.1,c440.a2.a1,PSS13577
Acc14191,Acc14191.1,c774.a1.a1,PSS13580
Acc14196,Acc14196.1,c835.a2.a1,PSS13585
Acc14211,Acc14211.1,c524.a4.a1,PSS13600
Acc14227,Acc14227.1,d1856.a2.a1,PSS13617
Acc14229,Acc14229.1,d2341.a2.a1,PSS13619
Acc14240,Acc14240.1,c170.a2.a1,PSS13630
Acc14242,Acc14242.1,d2583.a1.a1,PSS13632
Acc14249,Acc14249.1,d1305.a1.a1,PSS13639
Acc14262,Acc14262.1,d1124.a1.a1,PSS13652
Acc14266,Acc14266.1,b17.a4.a1,PSS13656
Acc14272,Acc14272.1,c844.a3.a1,PSS13662
Acc14273,Acc14273.1,c488.a2.a1,PSS13663
Acc14276,Acc14276.1,c291.a2.a1,PSS13666
Acc14276,Acc14276.2,c291.a2.a1,PSS13666
Acc14279,Acc14279.1,d1100.a2.a1,PSS13670
Acc14291,Acc14291.1,d2938.a1.a1,PSS13682
Acc14292,Acc14292.1,d1967.a2.a1,PSS13683
Acc14301,Acc14301.1,d1400.a1.a1,PSS13692
Acc14307,Acc14307.1,d1691.a1.a1,PSS13698
Acc14309,Acc14309.1,c481.a2.a1,PSS13700
Acc14328,Acc14328.1,d1700.a1.a1,PSS13719
Acc14336,Acc14336.1,d1233.a1.a1,PSS13727
Acc14337,Acc14337.1,c168.a1.a1,PSS13728
Acc14343,Acc14343.1,d1373.a1.a1,PSS13734
Acc14348,Acc14348.1,c544.a1.a1,PSS13739
Acc14349,Acc14349.1,c568.a1.a1,PSS13740
Acc14352,Acc14352.1,b35.b18.a1,PSS13743
Acc14353,Acc14353.1,d2396.a1.a1,PSS13744
Acc14354,Acc14354.1,c619.a1.a1,PSS13745
Acc14355,Acc14355.1,d1487.a2.a1,PSS13746
Acc14365,Acc14365.1,c183.a2.a1,PSS13756
Acc14367,Acc14367.1,d1573.a1.a1,PSS13758
Acc14372,Acc14372.1,d1954.a1.a1,PSS13763
Acc14387,Acc14387.1,d3017.a1.a1,PSS13776
Acc14399,Acc14399.1,c674.a1.a1,PSS13788
Acc14427,Acc14427.1,c813.a2.a1,PSS13815
Acc14446,Acc14446.1,c920.a1.a1,PSS13835
Acc14450,Acc14450.1,c696.a6.a1,PSS13838
Acc14451,Acc14451.1,d1920.a2.a1,PSS13839
Acc14461,Acc14461.1,d1156.a1.a1,PSS13849
